id,station,year,wood,hsba,hstot,hspayn,hspa,cancov,moisture,decrate,bg,lap,per,po,ap,insect
165,5,two,insect,0.171526249,3,yes,1,64.60136364,0.318848086,0.049910015,NA,NA,NA,NA,NA,0
166,6,two,insect,0.779328077,7,yes,1,67.03681818,0.525192919,0.104468307,NA,NA,NA,NA,NA,0
167,7,two,insect,0.039759609,2,yes,1,68.20727273,0.575385771,0.032569109,NA,NA,NA,NA,NA,0
168,8,two,insect,1.057711831,8,yes,1,67.61227273,0.553250255,0,NA,NA,NA,NA,NA,0
169,9,two,insect,0.645138527,3,yes,1,65.1885,0.642093784,0.169737317,NA,NA,NA,NA,NA,1
170,10,two,insect,0,0,no,0,69.44727273,0.562997212,0.020274499,NA,NA,NA,NA,NA,1
171,11,two,insect,0,0,no,0,69.59318182,0.659296328,0.354104801,NA,NA,NA,NA,NA,0
172,12,two,insect,0,0,no,0,68.80863636,0.610549068,0.058936964,NA,NA,NA,NA,NA,0
173,13,two,insect,0.378264874,2,yes,1,67.59681818,0.632355088,0.054463175,NA,NA,NA,NA,NA,0
174,14,two,insect,0,0,no,0,68.85863636,0.671131614,0.099005996,NA,NA,NA,NA,NA,0
175,15,two,insect,0,0,no,0,68.14590909,0.627715933,0.065873537,NA,NA,NA,NA,NA,0
176,16,two,insect,0.327749554,6,yes,1,66.12136364,0.60002588,0.135408726,NA,NA,NA,NA,NA,0
177,17,two,insect,2.25307521,4,yes,1,64.36181818,0.683520286,0.071092417,NA,NA,NA,NA,NA,0
178,18,two,insect,3.583270296,4,yes,1,59.46090909,0.674476213,0.067734619,NA,NA,NA,NA,NA,0
179,19,two,insect,4.79472801,6,yes,1,66.61954545,0.614879169,0,NA,NA,NA,NA,NA,0
180,20,two,insect,2.247093156,4,yes,1,61.34227273,0.663229855,0.047410795,NA,NA,NA,NA,NA,0
181,21,two,insect,1.190771264,6,yes,1,66.48727273,0.420964594,0.045848743,NA,NA,NA,NA,NA,0
182,22,two,insect,2.879873388,11,yes,1,68.28136364,0.334942034,0.03740033,NA,NA,NA,NA,NA,0
183,23,two,insect,7.153976696,9,yes,1,69.37681818,0.615778305,0.065977748,NA,NA,NA,NA,NA,0
184,24,two,insect,8.831770859,5,yes,1,68.95727273,0.573825949,0.030105374,NA,NA,NA,NA,NA,0
185,25,two,insect,1.116145118,8,yes,1,65.09363636,0.620870783,0.008750078,NA,NA,NA,NA,NA,0
186,26,two,insect,1.403387029,4,yes,1,64.83636364,0.607754264,0.054554756,NA,NA,NA,NA,NA,0
